@relation butterfly
@attribute redMean real
@attribute greenMean real
@attribute blueMean real
@attribute redStdDev real
@attribute greenStdDev real
@attribute blueStdDev real
@attribute segments real
@attribute medianAreaOfSegments real
@attribute hu1 real
@attribute hu2 real
@attribute hu3 real
@attribute hu4 real
@attribute hu5 real
@attribute hu6 real
@attribute hu7 real
@attribute class {"heliconius doris","heliconius hecale","danaus plexippus","papilio polytes","cethosia cyane","heliconius cydno","heliconius sp","neptis hylas","hamadryas februa","heliconius sara","papilio demodocus","graphium doson","attacus atlas","papilio memnon","parides sesostris","dryadula phaetusa","hebomoia glaucippe","papilio rumanzovia","papilio palinurus","hypolimnas antedon","caligula japonica","actias selene","papilio anchisiades","cethosia biblis","heliconius melpomene","salamis parhassus","papilio polyxenes","agraulis vanillae","rothschildia lebeau","heliconius charitonius","hamadryas amphinome","papilio polyctor","daphnis nerii","atrophaneura semperi","morpho peleides","graphium agamemnon","graphium colonna","papilio thoas","siproeta stelenes","heliconius ismenius","papilio constantinus","caligo eurilochus","idea leuconoe","argema mittrei","tirumala septentrionis","graphium sp","hypolimnas antevorta","papilo dardanus","hypolimnas bolina","papilio lowii","papilio demoleus","charaxes protoclea","papilio polymnestor","heliconius erato","parthenos sylvia","idea leuconone","charaxes castor","precis iphita","siproeta epaphus","anartia fatima","charaxes cithaeron","charaxes etesipe","kallima inachus","philaetria dido","papilio dardanus","charaxes varanes","hypolimnas usumbara","myselia cyaniris","papilio ophidocephalus"}
@data
86.84073713977605,101.32261122200808,52.36998812637665,45.40182700359889,47.055642274816,40.02287536398365,53.0,4.0,19.136718749985448,365.65587192150576,4169.862601784178,4167.892562133171,1.7375433381246064E7,79690.73076596577,29.9452191805467,"kallima inachus"
72.44436605176212,83.94017873531571,50.14947572503671,54.592342526929926,37.18064152934897,33.10174458418774,22.0,10.0,3.3115641276017413,10.699338093400002,1.9204067079737044,0.7152136000282315,0.7579635608329528,1.342899930867599,0.35788110111770133,"agraulis vanillae"
77.39726877982746,92.18182704662262,47.18546226826358,50.466988216109705,51.20427471495722,35.880631339338926,255.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"papilio polytes"
124.52478867359078,123.7892197794656,73.64687614385066,44.62978882850234,48.79342849180103,42.858204787603455,232.0,15.5,0.2039304859214418,0.015324460431545516,1.9249743555139733E-4,1.3581715136565105E-5,-3.104025996709409E-10,-9.839629291109631E-7,6.212234858138022E-10,"attacus atlas"
137.36069859352054,140.21692306809837,139.72567484627385,54.74825244288178,54.0811123410897,54.75640313788112,663.0,4.0,5.157758341453571,25.07679507854499,2.1547017087294082,0.885678252580324,1.1892881715348016,3.2278042154599214,-0.287350909480326,"parides sesostris"
51.25954335306534,81.34133225495594,47.66919052863436,38.21745288945532,55.34585083843546,59.372305640436004,290.0,4.0,0.24999999988358468,0.034722222254559815,1.7868039743650956E-13,1.2832525095166948E-13,1.9400213636267183E-26,-2.3641561730467838E-14,1.1024719755427428E-27,"morpho peleides"
52.042000791574885,82.10862070943465,50.39463306488619,38.29290911934196,55.52859710444895,59.839375740571995,339.0,2.0,0.37499999997089617,0.11284722220847875,1.6127864128350913E-15,2.6958967598515846E-15,3.675421337979495E-30,8.448261837426229E-16,-4.253380394692185E-30,"morpho peleides"
99.48916746971365,116.8683906364721,62.56063578377386,35.033186616447516,36.597485369740035,43.17391549623911,74.0,7.5,0.8908325235397383,0.07189254833374005,0.6368459475790822,0.023225760962044865,0.002194573118648112,-8.617715000583434E-4,0.001778418203338558,"daphnis nerii"
88.17312545888399,61.63898735774596,43.80007428184655,46.028535867416686,43.69512467147435,40.69685169930937,99.0,5.5,0.20587984566149145,0.016147623331216453,1.2802424968478564E-4,7.512680759168207E-6,-1.9378611260381105E-10,-8.888711061882509E-7,1.293506576891847E-10,"rothschildia lebeau"
57.966263422356825,70.81893011196769,62.251885726413356,33.20391163798391,35.56486157466459,37.191780698218516,25.0,18.0,0.24999999997999112,0.03472222223182245,1.7799160131147895E-15,1.1978244831114672E-15,1.744725102652154E-30,-2.0714616347221464E-16,1.2219423062119516E-31,"papilio polyctor"
85.68496466593244,98.11962818924376,70.9346792974486,41.770244970976975,46.53236396496251,41.95587533107574,91.0,70.0,4.940934620713014,24.13759489310431,0.26551237437224956,0.07685892081891735,0.008872084242082447,0.13250691941530862,-0.006468093365475243,"papilio demodocus"
72.32070111738253,75.9425233457232,45.303884453010276,48.735827686385555,57.098476739957874,40.30180593061955,197.0,5.5,4.307028806586232,3.025953687020264,9.291878342416302,17.28961058858498,-143.05131995430992,-22.400668924881913,166.01328425793477,"papilio memnon"
130.88325064178514,118.49903115126382,66.03888662618483,65.83184809727076,63.56396378570015,36.041199460822256,531.0,11.0,0.9191111111082138,0.6391474567813538,0.5203922019770996,0.37560319050915353,0.1657849029575996,0.263944654893553,0.009516371151024515,"attacus atlas"
91.01720814977973,61.726790507984575,45.65308800247797,43.9987666260938,44.77584531178265,41.353557024215625,74.0,3.5,32.900486744672676,1011.8642751035215,6746.069243027411,1021.243868476589,-243318.00530910044,-13254.98984360537,2669457.17971772,"rothschildia lebeau"
87.25243065115639,82.8757499885279,55.32942564932085,55.46822216947118,49.12482869698915,38.709761188603835,57.0,12.5,0.9688888888806106,0.429530864172063,0.16407551878497906,0.11236643717807737,0.015209691844377654,0.060515706264783184,-0.0012039675055276642,"heliconius sp"
